단어명	영문약어명
값	VL
강	CLASS
건	CASE
계	KNDM
과	FMLY
구	OLD
국	TELOFC
군	GROUP
굴	CAVE
글	WRTT
금	GLD
길	
꽃	FLOWR
꿩	PHSNT
끝	FNS
납	PMBM
널	NUL
년	YR
논	PDFLD
눈	SNW
단	STGE
닭	CHCKN
답	RCFLD
댐	DM
동	DNG
등	LGHT
량	QNT
률	
리	LI
막	MBRN
맛	FLVR
망	NW
면	MYN
명	NM
모	PRNT
목	ORDER
몰	MOL
문	PHLM
물	WTR
미	UN
밭	FILD
배	PEAR
법	LAW
벼	RC
별	ACCTO
보	WEIR
봄	SPRNG
부	SUB
분	MI
뷰	VIEW
비	NON
산	MTN
상	TOP
선	LINE
섬	ISLND
셀	CELL
소	CW
속	GNUS
수	CNT
시	HOUR
식	FMLA
신	NEW
실	RL
약	GENTLE
열	HEAT
외	EXCP
원	
월	MM
웹	WEB
율	
읍	EUP
일	DAY
재	RE
전	
절	SCTIN
점	PNT
정	RIGHTS
종	SPECS
좌	LFT
주	MAIN
줄	LINE
집	HS
쪽	PAGE
창	WNDW
책	
철	IRON
초	SS
총	TOT
축	AXS
층	FLR
캔	CAN
콜	STF
키	KEY
타	OTHR
탭	TAB
통	TONG
툴	TOOL
팀	TEAM
폭	WDTH
표	TBL
호	
후	
가감	ADSB
가격	PRC
가공	MNFCT
가구	HSHD
가능	PSBLTY
가동	OPRTNG
가로	WDTH
가뭄	DRGHT
가산	ADTN
가상	VR
가스	GAS
가액	EQVL
가열	HTNG
가옥	HS
가용	AVL
가을	ATMN
가입	JOIN
가족	FAM
가중	AGGRT
가치	WRTH
각도	ANGL
각서	MRND
각하	RJTN
간격	GAP
간부	LDR
간접	IDRT
감리	SPVS
감면	RDCT
감사	ADT
감소	DCRS
감쇄	DCRS
감시	MNTR
감액	RDAMT
감점	SBPT
감정	APRS
감지	SNSNG
감축	CTBK
강도	STRTH
강변	RVSD
강사	INSTR
강수	PRCP
강우	RAIN
강의	LCTR
개관	OPNNG
개도	OPRAD
개량	IMPRVM
개문	OPGTE
개발	DVLP
개방	OPN
개별	INDIV
개봉	OPEN
개선	IMPV
개설	ESTBL
개소	EAP
개수	
개시	STRT
개업	OPBIZ
개요	OTLN
개인	INDV
개점	OPSTR
개정	RVSN
개조	REMDEL
개찰	BDOPN
개체	INDV
개최	HDMT
개통	OPNG
개폐	SWCHG
개화	BLOOM
객석	ADTRM
객실	GSRM
객체	OBJT
갯벌	MDF
갱생	RGNR
갱신	UPDT
거래	DLNG
거리	DSTNC
거미	SPIDER
거부	RFUS
거절	RFSL
거주	HAB
거짓	FLS
거치	DFMT
건강	HLTH
건당	CASE
건물	BLDG
건별	CASE
건설	BLDP
건수	NOCS
건의	SGST
건조	DRY
건축	ARCH
검사	INSP
검색	SRCH
검수	IGI
검정	RCGN
검증	VRFC
검진	CKUP
검체	SPCM
검출	DTCT
검침	MTRD
검토	RVW
게시	PSTG
게임	GAME
게재	PBLC
겨울	WNTR
격리	QRNT
격자	LATC
견본	SAMPLE
견적	ESTMT
결과	RSLT
결근	ABSWK
결론	CNCSN
결번	NVLD
결산	SOA
결석	ABSNC
결손	SHRTG
결실	FRUITN
결의	RSLTN
결재	ATRZ
결정	DCSN
결제	STLM
결측	MSNG
결함	DFC
결합	COMB
결혼	MRG
겸업	SDJB
겸직	CCPS
경계	MGNL
경고	WARN
경과	ELPS
경관	LDS
경도	LOT
경력	CRR
경로	PATH
경매	AUCTN
경보	ART
경비	EPS
경사	SLOP
경영	MNGM
경위	CHIST
경유	DISL
경작	CLVT
경제	ECNM
경조	CGCD
경차	LVHC
경품	GVW
경향	TNDNC
계급	ECHLN
계대	SCDNG
계량	MSR
계류	MOORA
계산	CAL
계수	CFC
계약	CTRT
계절	SSN
계정	ACNT
계좌	BACNT
계측	MSR
계층	LYR
계통	PSYS
계획	PLAN
고객	CUST
고과	CSDSRV
고교	
고도	ALTD
고문	CNSTN
고발	ACSTN
고사	WITHR
고시	ANCMNT
고용	EPM
고유	UNQ
고장	BKDN
고정	FIX
고지	INFRM
고철	STELSCP
고체	SLD
고충	DSTRS
고화	SOLIZ
곤충	INSECT
골재	AGGRGT
공간	SPAC
